locus_tag	ftype	length_bp	gene	EC_number	COG	product
ALNBEDND_00046	gene	1374	argH			
ALNBEDND_00046	CDS	1374	argH	4.3.2.1	COG0165	Argininosuccinate lyase
ALNBEDND_00047	gene	777	argB			
ALNBEDND_00047	CDS	777	argB	2.7.2.8	COG0548	Acetylglutamate kinase
ALNBEDND_00048	gene	1005	argC			
ALNBEDND_00048	CDS	1005	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
ALNBEDND_00049	gene	1152	argE_1			
ALNBEDND_00049	CDS	1152	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
ALNBEDND_00050	gene	2652	ppc			
ALNBEDND_00050	CDS	2652	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
ALNBEDND_00051	gene	1734	eptC			
ALNBEDND_00051	CDS	1734	eptC	2.7.-.-	COG2194	Phosphoethanolamine transferase EptC
ALNBEDND_00052	gene	852	rhaS_1			
ALNBEDND_00052	CDS	852	rhaS_1			HTH-type transcriptional activator RhaS
ALNBEDND_00053	gene	342	frwD			
ALNBEDND_00053	CDS	342	frwD	2.7.1.202	COG1445	PTS system fructose-like EIIB component 3
ALNBEDND_00054	gene	879	bssD			
ALNBEDND_00054	CDS	879	bssD	1.97.1.-		Benzylsuccinate synthase activating enzyme
ALNBEDND_00055	gene	2298	cutC_1			
ALNBEDND_00055	CDS	2298	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
ALNBEDND_00056	gene	321	fryB_1			
ALNBEDND_00056	CDS	321	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
ALNBEDND_00057	gene	1080	manP_1			
ALNBEDND_00057	CDS	1080	manP_1		COG1299	PTS system mannose-specific EIIBCA component
ALNBEDND_00058	gene	2502	fryA_1			
ALNBEDND_00058	CDS	2502	fryA_1		COG1080	Multiphosphoryl transfer protein 1
ALNBEDND_00059	gene	663	fsaB			
ALNBEDND_00059	CDS	663	fsaB	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 2
ALNBEDND_00060	gene	1104	gldA			
ALNBEDND_00060	CDS	1104	gldA	1.1.1.6	COG0371	Glycerol dehydrogenase
ALNBEDND_00061	gene	618				
ALNBEDND_00061	CDS	618				hypothetical protein
ALNBEDND_00062	gene	906	yijE			
ALNBEDND_00062	CDS	906	yijE			putative cystine transporter YijE
ALNBEDND_00063	gene	2181	katG			
ALNBEDND_00063	CDS	2181	katG	1.11.1.21	COG0376	Catalase-peroxidase
ALNBEDND_00064	gene	891	metF			
ALNBEDND_00064	CDS	891	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
ALNBEDND_00065	gene	2433	metL			
ALNBEDND_00065	CDS	2433	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
ALNBEDND_00066	gene	1161	metB			
ALNBEDND_00066	CDS	1161	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
ALNBEDND_00067	gene	318	metJ			
ALNBEDND_00067	CDS	318	metJ		COG3060	Met repressor
ALNBEDND_00068	gene	609				
ALNBEDND_00068	CDS	609				hypothetical protein
ALNBEDND_00069	gene	213	rpmE			
ALNBEDND_00069	CDS	213	rpmE		COG0254	50S ribosomal protein L31
ALNBEDND_00070	gene	2199	priA			
ALNBEDND_00070	CDS	2199	priA	3.6.4.-	COG1198	Primosomal protein N'
ALNBEDND_00071	gene	1026	cytR			
ALNBEDND_00071	CDS	1026	cytR		COG1609	HTH-type transcriptional repressor CytR
ALNBEDND_00072	gene	855	ftsN			
ALNBEDND_00072	CDS	855	ftsN		COG3087	Cell division protein FtsN
ALNBEDND_00073	gene	531	hslV			
ALNBEDND_00073	CDS	531	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
ALNBEDND_00074	gene	1332	hslU			
ALNBEDND_00074	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
ALNBEDND_00075	gene	927	menA			
ALNBEDND_00075	CDS	927	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
ALNBEDND_00076	gene	486	rraA			
ALNBEDND_00076	CDS	486	rraA		COG0684	Regulator of ribonuclease activity A
ALNBEDND_00077	gene	240	zapB			
ALNBEDND_00077	CDS	240	zapB		COG3074	Cell division protein ZapB
ALNBEDND_00078	gene	846	glpF			
ALNBEDND_00078	CDS	846	glpF		COG0580	Glycerol uptake facilitator protein
ALNBEDND_00079	gene	1509	glpK			
ALNBEDND_00079	CDS	1509	glpK	2.7.1.30	COG0554	Glycerol kinase
ALNBEDND_00080	gene	1011	glpX			
ALNBEDND_00080	CDS	1011	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
ALNBEDND_00081	gene	747	fpr			
ALNBEDND_00081	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
ALNBEDND_00082	gene	429	uspD			
ALNBEDND_00082	CDS	429	uspD		COG0589	Universal stress protein D
ALNBEDND_00083	gene	300				
ALNBEDND_00083	CDS	300				hypothetical protein
ALNBEDND_00084	gene	441				
ALNBEDND_00084	CDS	441				hypothetical protein
ALNBEDND_00085	gene	600				
ALNBEDND_00085	CDS	600				hypothetical protein
ALNBEDND_00086	gene	768	tpiA			
ALNBEDND_00086	CDS	768	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
ALNBEDND_00087	gene	756	cdh			
ALNBEDND_00087	CDS	756	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
ALNBEDND_00088	gene	990	sbp			
ALNBEDND_00088	CDS	990	sbp		COG1613	Sulfate-binding protein
ALNBEDND_00089	gene	963	pfkA			
ALNBEDND_00089	CDS	963	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
ALNBEDND_00090	gene	903	fieF			
ALNBEDND_00090	CDS	903	fieF		COG0053	Ferrous-iron efflux pump FieF
ALNBEDND_00091	gene	501	cpxP			
ALNBEDND_00091	CDS	501	cpxP		COG3678	Periplasmic protein CpxP
ALNBEDND_00092	gene	699	cpxR			
ALNBEDND_00092	CDS	699	cpxR		COG0745	Transcriptional regulatory protein CpxR
ALNBEDND_00093	gene	1374	cpxA			
ALNBEDND_00093	CDS	1374	cpxA	2.7.13.3		Sensor histidine kinase CpxA
ALNBEDND_00094	gene	675	yiiM			
ALNBEDND_00094	CDS	675	yiiM		COG2258	Protein YiiM
ALNBEDND_00095	gene	984	kdgT			
ALNBEDND_00095	CDS	984	kdgT			2-keto-3-deoxygluconate permease
ALNBEDND_00096	gene	621	sodA			
ALNBEDND_00096	CDS	621	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
ALNBEDND_00097	gene	1035	rhaT			
ALNBEDND_00097	CDS	1035	rhaT		COG0697	L-rhamnose-proton symporter
ALNBEDND_00098	gene	939	rhaR_1			
ALNBEDND_00098	CDS	939	rhaR_1			HTH-type transcriptional activator RhaR
ALNBEDND_00099	gene	837	rhaS_2			
ALNBEDND_00099	CDS	837	rhaS_2			HTH-type transcriptional activator RhaS
ALNBEDND_00100	gene	1470	rhaB			
ALNBEDND_00100	CDS	1470	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
ALNBEDND_00101	gene	1260	rhaA			
ALNBEDND_00101	CDS	1260	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
ALNBEDND_00102	gene	825	rhaD			
ALNBEDND_00102	CDS	825	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
ALNBEDND_00103	gene	315	rhaM			
ALNBEDND_00103	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
ALNBEDND_00104	gene	447	fruA_1			
ALNBEDND_00104	CDS	447	fruA_1		COG1299	PTS system fructose-specific EIIABC component
ALNBEDND_00105	gene	1452	manP_2			
ALNBEDND_00105	CDS	1452	manP_2		COG1299	PTS system mannose-specific EIIBCA component
ALNBEDND_00106	gene	1071	ysdC_1			
ALNBEDND_00106	CDS	1071	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
ALNBEDND_00107	gene	1749				
ALNBEDND_00107	CDS	1749				hypothetical protein
ALNBEDND_00108	gene	1056				
ALNBEDND_00108	CDS	1056				hypothetical protein
ALNBEDND_00109	gene	834	fdhD			
ALNBEDND_00109	CDS	834	fdhD		COG1526	Sulfur carrier protein FdhD
ALNBEDND_00110	gene	588	fdoG_1			
ALNBEDND_00110	CDS	588	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
ALNBEDND_00111	gene	2415	fdoG_2			
ALNBEDND_00111	CDS	2415	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
ALNBEDND_00112	gene	903	fdoH			
ALNBEDND_00112	CDS	903	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
ALNBEDND_00113	gene	636	fdoI			
ALNBEDND_00113	CDS	636	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
ALNBEDND_00114	gene	930	fdhE			
ALNBEDND_00114	CDS	930	fdhE		COG3058	Protein FdhE
ALNBEDND_00115	gene	183				
ALNBEDND_00115	CDS	183				hypothetical protein
ALNBEDND_00116	gene	243				
ALNBEDND_00116	CDS	243				hypothetical protein
ALNBEDND_00117	gene	219				
ALNBEDND_00117	CDS	219				hypothetical protein
ALNBEDND_00118	gene	108				
ALNBEDND_00118	CDS	108				hypothetical protein
ALNBEDND_00119	gene	942				
ALNBEDND_00119	CDS	942				hypothetical protein
ALNBEDND_00120	gene	438	dtd			
ALNBEDND_00120	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
ALNBEDND_00121	gene	873				
ALNBEDND_00121	CDS	873				hypothetical protein
ALNBEDND_00122	gene	600	yihX			
ALNBEDND_00122	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
ALNBEDND_00123	gene	786	csqR			
ALNBEDND_00123	CDS	786	csqR		COG1349	HTH-type transcriptional repressor CsqR
ALNBEDND_00124	gene	897	yihV			
ALNBEDND_00124	CDS	897	yihV	2.7.1.184		Sulfofructose kinase
ALNBEDND_00125	gene	897	yihU			
ALNBEDND_00125	CDS	897	yihU	1.1.1.373	COG2084	3-sulfolactaldehyde reductase
ALNBEDND_00126	gene	879	yihT			
ALNBEDND_00126	CDS	879	yihT	4.1.2.57	COG3684	Sulfofructosephosphate aldolase
ALNBEDND_00127	gene	1242	yihS			
ALNBEDND_00127	CDS	1242	yihS	5.3.1.31	COG2942	Sulfoquinovose isomerase
ALNBEDND_00128	gene	927	yihR			
ALNBEDND_00128	CDS	927	yihR		COG2017	putative protein YihR
ALNBEDND_00129	gene	2037	yihQ			
ALNBEDND_00129	CDS	2037	yihQ	3.2.1.199	COG1501	Sulfoquinovosidase
ALNBEDND_00130	gene	1386	yihP_1			
ALNBEDND_00130	CDS	1386	yihP_1		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
ALNBEDND_00131	gene	1404	yihP_2			
ALNBEDND_00131	CDS	1404	yihP_2		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
ALNBEDND_00132	gene	693	ompL			
ALNBEDND_00132	CDS	693	ompL			Porin OmpL
ALNBEDND_00133	gene	1266	yihN			
ALNBEDND_00133	CDS	1266	yihN			Inner membrane protein YihN
ALNBEDND_00134	gene	981				
ALNBEDND_00134	CDS	981				hypothetical protein
ALNBEDND_00135	gene	711	phnR			
ALNBEDND_00135	CDS	711	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
ALNBEDND_00136	gene	1824	typA			
ALNBEDND_00136	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
ALNBEDND_00137	gene	1410	glnA			
ALNBEDND_00137	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
ALNBEDND_00138	gene	1050	glnL			
ALNBEDND_00138	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
ALNBEDND_00139	gene	1410	glnG			
ALNBEDND_00139	CDS	1410	glnG		COG2204	DNA-binding transcriptional regulator NtrC
ALNBEDND_00140	gene	111	yshB			
ALNBEDND_00140	CDS	111	yshB			putative protein YshB
ALNBEDND_00141	gene	1374	hemN			
ALNBEDND_00141	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
ALNBEDND_00142	gene	510	yihI			
ALNBEDND_00142	CDS	510	yihI		COG3078	Der GTPase-activating protein YihI
ALNBEDND_00143	gene	633	engB			
ALNBEDND_00143	CDS	633	engB		COG0218	putative GTP-binding protein EngB
ALNBEDND_00144	gene	2787	polA			
ALNBEDND_00144	CDS	2787	polA	2.7.7.7	COG0258	DNA polymerase I
ALNBEDND_00145	gene	186				
ALNBEDND_00145	CDS	186				hypothetical protein
ALNBEDND_00146	gene	933	yihG			
ALNBEDND_00146	CDS	933	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
ALNBEDND_00147	gene	1431	ydgA_1			
ALNBEDND_00147	CDS	1431	ydgA_1		COG5339	Protein YdgA
ALNBEDND_00148	gene	627	dsbA			
ALNBEDND_00148	CDS	627	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
ALNBEDND_00149	gene	987	srkA			
ALNBEDND_00149	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
ALNBEDND_00150	gene	270	yihD			
ALNBEDND_00150	CDS	270	yihD		COG3084	Protein YihD
ALNBEDND_00151	gene	585	mobA			
ALNBEDND_00151	CDS	585	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
ALNBEDND_00152	gene	528	mobB			
ALNBEDND_00152	CDS	528	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
ALNBEDND_00153	gene	111				
ALNBEDND_00153	rRNA	111				5S ribosomal RNA
ALNBEDND_00154	gene	2903				
ALNBEDND_00154	rRNA	2903				23S ribosomal RNA
ALNBEDND_00155	gene	76				
ALNBEDND_00155	tRNA	76				tRNA-Ala(tgc)
ALNBEDND_00156	gene	77				
ALNBEDND_00156	tRNA	77				tRNA-Ile(gat)
ALNBEDND_00157	gene	1538				
ALNBEDND_00157	rRNA	1538				16S ribosomal RNA
ALNBEDND_00158	gene	546	hemG			
ALNBEDND_00158	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
ALNBEDND_00159	gene	1452	trkH			
ALNBEDND_00159	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
ALNBEDND_00160	gene	615	yigZ			
ALNBEDND_00160	CDS	615	yigZ		COG1739	IMPACT family member YigZ
ALNBEDND_00161	gene	1332	pepQ			
ALNBEDND_00161	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
ALNBEDND_00162	gene	2190	fadB			
ALNBEDND_00162	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
ALNBEDND_00163	gene	1164	fadA			
ALNBEDND_00163	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadA
ALNBEDND_00164	gene	702	fre			
ALNBEDND_00164	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
ALNBEDND_00165	gene	1494	ubiD			
ALNBEDND_00165	CDS	1494	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
ALNBEDND_00166	gene	489	rfaH			
ALNBEDND_00166	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
ALNBEDND_00167	gene	783	tatD			
ALNBEDND_00167	CDS	783	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
ALNBEDND_00168	gene	777	tatC			
ALNBEDND_00168	CDS	777	tatC		COG0805	Sec-independent protein translocase protein TatC
ALNBEDND_00169	gene	516	tatB			
ALNBEDND_00169	CDS	516	tatB		COG1826	Sec-independent protein translocase protein TatB
ALNBEDND_00170	gene	270	tatA			
ALNBEDND_00170	CDS	270	tatA		COG1826	Sec-independent protein translocase protein TatA
ALNBEDND_00171	gene	1641	ubiB			
ALNBEDND_00171	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
ALNBEDND_00172	gene	606	ubiJ_1			
ALNBEDND_00172	CDS	606	ubiJ_1		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
ALNBEDND_00173	gene	756	ubiE			
ALNBEDND_00173	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
ALNBEDND_00174	gene	1428				
ALNBEDND_00174	CDS	1428				hypothetical protein
ALNBEDND_00175	gene	762	udp			
ALNBEDND_00175	CDS	762	udp	2.4.2.3	COG2820	Uridine phosphorylase
ALNBEDND_00176	gene	816	clcD			
ALNBEDND_00176	CDS	816	clcD	3.1.1.45		Carboxymethylenebutenolidase
ALNBEDND_00177	gene	2262	metE			
ALNBEDND_00177	CDS	2262	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
ALNBEDND_00178	gene	954	metR			
ALNBEDND_00178	CDS	954	metR			HTH-type transcriptional regulator MetR
ALNBEDND_00179	gene	900	bioP			
ALNBEDND_00179	CDS	900	bioP		COG0697	Biotin transporter
ALNBEDND_00180	gene	801	yigL			
ALNBEDND_00180	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
ALNBEDND_00181	gene	1023	pldB			
ALNBEDND_00181	CDS	1023	pldB	3.1.1.5	COG2267	Lysophospholipase L2
ALNBEDND_00182	gene	621	rhtB			
ALNBEDND_00182	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
ALNBEDND_00183	gene	621	rhtC_1			
ALNBEDND_00183	CDS	621	rhtC_1		COG1280	Threonine efflux protein
ALNBEDND_00184	gene	1836	recQ			
ALNBEDND_00184	CDS	1836	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
ALNBEDND_00185	gene	870	pldA			
ALNBEDND_00185	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
ALNBEDND_00186	gene	468				
ALNBEDND_00186	CDS	468				hypothetical protein
ALNBEDND_00187	gene	891	rarD			
ALNBEDND_00187	CDS	891	rarD		COG2962	Protein RarD
ALNBEDND_00188	gene	381	yigG			
ALNBEDND_00188	CDS	381	yigG			Inner membrane protein YigG
ALNBEDND_00189	gene	381				
ALNBEDND_00189	CDS	381				hypothetical protein
ALNBEDND_00190	gene	951	corA			
ALNBEDND_00190	CDS	951	corA		COG0598	Magnesium transport protein CorA
ALNBEDND_00191	gene	765				
ALNBEDND_00191	CDS	765				hypothetical protein
ALNBEDND_00192	gene	2163	uvrD			
ALNBEDND_00192	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
ALNBEDND_00193	gene	717	yigB			
ALNBEDND_00193	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
ALNBEDND_00194	gene	897	xerC_1			
ALNBEDND_00194	CDS	897	xerC_1		COG4973	Tyrosine recombinase XerC
ALNBEDND_00195	gene	708				
ALNBEDND_00195	CDS	708				hypothetical protein
ALNBEDND_00196	gene	825	dapF			
ALNBEDND_00196	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
ALNBEDND_00197	gene	204				
ALNBEDND_00197	CDS	204				hypothetical protein
ALNBEDND_00198	gene	321	cyaY			
ALNBEDND_00198	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
ALNBEDND_00199	gene	2547	cyaA			
ALNBEDND_00199	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
ALNBEDND_00200	gene	963	hemC			
ALNBEDND_00200	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
ALNBEDND_00201	gene	741	hemD			
ALNBEDND_00201	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
ALNBEDND_00202	gene	1182	hemX			
ALNBEDND_00202	CDS	1182	hemX		COG2959	Protein HemX
ALNBEDND_00203	gene	1197	hemY			
ALNBEDND_00203	CDS	1197	hemY		COG3071	Protein HemY
ALNBEDND_00204	gene	1656				
ALNBEDND_00204	CDS	1656		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
ALNBEDND_00205	gene	1236	chuR_1			
ALNBEDND_00205	CDS	1236	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
ALNBEDND_00206	gene	77				
ALNBEDND_00206	tRNA	77				tRNA-Pro(tgg)
ALNBEDND_00207	gene	87				
ALNBEDND_00207	tRNA	87				tRNA-Leu(cag)
ALNBEDND_00208	gene	76				
ALNBEDND_00208	tRNA	76				tRNA-His(gtg)
ALNBEDND_00209	gene	77				
ALNBEDND_00209	tRNA	77				tRNA-Arg(ccg)
ALNBEDND_00210	gene	1386	yifK			
ALNBEDND_00210	CDS	1386	yifK		COG1113	putative transport protein YifK
ALNBEDND_00211	gene	741	wecG			
ALNBEDND_00211	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
ALNBEDND_00212	gene	1353	wzyE			
ALNBEDND_00212	CDS	1353	wzyE			putative ECA polymerase
ALNBEDND_00213	gene	1080	wecF			
ALNBEDND_00213	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
ALNBEDND_00214	gene	1251	wzxE			
ALNBEDND_00214	CDS	1251	wzxE		COG2244	Lipid III flippase
ALNBEDND_00215	gene	1131	wecE			
ALNBEDND_00215	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
ALNBEDND_00216	gene	675	wecD			
ALNBEDND_00216	CDS	675	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
ALNBEDND_00217	gene	882	rffH			
ALNBEDND_00217	CDS	882	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
ALNBEDND_00218	gene	1068	rffG			
ALNBEDND_00218	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
ALNBEDND_00219	gene	1263	wecC			
