locus_tag	ftype	length_bp	gene	EC_number	COG	product
ODBLAICG_00078	CDS	474	smpB		COG0691	SsrA-binding protein
ODBLAICG_00079	gene	582				
ODBLAICG_00079	CDS	582				hypothetical protein
ODBLAICG_00080	gene	690	ung			
ODBLAICG_00080	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
ODBLAICG_00081	gene	975	pta			
ODBLAICG_00081	CDS	975	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
ODBLAICG_00082	gene	453	tsaE			
ODBLAICG_00082	CDS	453	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
ODBLAICG_00083	gene	516				
ODBLAICG_00083	CDS	516				hypothetical protein
ODBLAICG_00084	gene	540	polC_1			
ODBLAICG_00084	CDS	540	polC_1	2.7.7.7	COG2176	DNA polymerase III PolC-type
ODBLAICG_00085	gene	897	murB			
ODBLAICG_00085	CDS	897	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
ODBLAICG_00086	gene	843	dacA_1			
ODBLAICG_00086	CDS	843	dacA_1	2.7.7.85	COG1624	Diadenylate cyclase
ODBLAICG_00087	gene	879				
ODBLAICG_00087	CDS	879				hypothetical protein
ODBLAICG_00088	gene	1359	glmM			
ODBLAICG_00088	CDS	1359	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
ODBLAICG_00089	gene	1821	glmS			
ODBLAICG_00089	CDS	1821	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
ODBLAICG_00090	gene	1287				
ODBLAICG_00090	CDS	1287				ISL3 family transposase ISL3
ODBLAICG_00091	gene	312				
ODBLAICG_00091	CDS	312				hypothetical protein
ODBLAICG_00092	gene	1851	oatA			
ODBLAICG_00092	CDS	1851	oatA	2.3.1.-		O-acetyltransferase OatA
ODBLAICG_00093	gene	819				
ODBLAICG_00093	CDS	819		3.1.3.-		Putative phosphatase
ODBLAICG_00094	gene	615				
ODBLAICG_00094	CDS	615				hypothetical protein
ODBLAICG_00095	gene	1029				
ODBLAICG_00095	CDS	1029				hypothetical protein
ODBLAICG_00096	gene	906	cmpR			
ODBLAICG_00096	CDS	906	cmpR			HTH-type transcriptional activator CmpR
ODBLAICG_00097	gene	963	yvyI			
ODBLAICG_00097	CDS	963	yvyI	5.3.1.8	COG1482	Putative mannose-6-phosphate isomerase YvyI
ODBLAICG_00098	gene	840				
ODBLAICG_00098	CDS	840			COG1307	DegV domain-containing protein
ODBLAICG_00099	gene	513				
ODBLAICG_00099	CDS	513				hypothetical protein
ODBLAICG_00100	gene	942	yfeX			
ODBLAICG_00100	CDS	942	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
ODBLAICG_00101	gene	228	manX_1			
ODBLAICG_00101	CDS	228	manX_1	2.7.1.191		PTS system mannose-specific EIIAB component
ODBLAICG_00102	gene	846				
ODBLAICG_00102	CDS	846				IS3 family transposase ISEnfa5
ODBLAICG_00103	gene	789	manX_2			
ODBLAICG_00103	CDS	789	manX_2	2.7.1.191		PTS system mannose-specific EIIAB component
ODBLAICG_00104	gene	804	sorA			
ODBLAICG_00104	CDS	804	sorA		COG3715	PTS system sorbose-specific EIIC component
ODBLAICG_00105	gene	921	manZ			
ODBLAICG_00105	CDS	921	manZ		COG3716	PTS system mannose-specific EIID component
ODBLAICG_00106	gene	324				
ODBLAICG_00106	CDS	324				hypothetical protein
ODBLAICG_00107	gene	1287				
ODBLAICG_00107	CDS	1287				ISL3 family transposase ISL3
ODBLAICG_00108	gene	370	ssrA			
ODBLAICG_00108	tmRNA	370	ssrA			transfer-messenger RNA, SsrA
ODBLAICG_00109	gene	924				
ODBLAICG_00109	CDS	924			COG2826	IS30 family transposase IS1070
ODBLAICG_00110	gene	723	srrA			
ODBLAICG_00110	CDS	723	srrA		COG0745	Transcriptional regulatory protein SrrA
ODBLAICG_00111	gene	1503	rcsC			
ODBLAICG_00111	CDS	1503	rcsC	2.7.13.3		Sensor histidine kinase RcsC
ODBLAICG_00112	gene	861	glcU			
ODBLAICG_00112	CDS	861	glcU		COG4975	Glucose uptake protein GlcU
ODBLAICG_00113	gene	180				
ODBLAICG_00113	CDS	180				hypothetical protein
ODBLAICG_00114	gene	888				
ODBLAICG_00114	CDS	888				IS3 family transposase ISLsa2
ODBLAICG_00115	gene	879				
ODBLAICG_00115	CDS	879				IS3 family transposase ISBce13
ODBLAICG_00116	gene	288				
ODBLAICG_00116	CDS	288				hypothetical protein
ODBLAICG_00117	gene	564	ahpC			
ODBLAICG_00117	CDS	564	ahpC	1.11.1.15		Alkyl hydroperoxide reductase C
ODBLAICG_00118	gene	1665				
ODBLAICG_00118	CDS	1665		1.18.1.2		Ferredoxin--NADP reductase
ODBLAICG_00119	gene	1353	pgi_1			
ODBLAICG_00119	CDS	1353	pgi_1	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
ODBLAICG_00120	gene	198				
ODBLAICG_00120	CDS	198				hypothetical protein
ODBLAICG_00121	gene	483				
ODBLAICG_00121	CDS	483				hypothetical protein
ODBLAICG_00122	gene	702				
ODBLAICG_00122	CDS	702				hypothetical protein
ODBLAICG_00123	gene	849	dkgA_1			
ODBLAICG_00123	CDS	849	dkgA_1	1.1.1.274	COG0656	2,5-diketo-D-gluconic acid reductase A
ODBLAICG_00124	gene	777	tpiA_2			
ODBLAICG_00124	CDS	777	tpiA_2	5.3.1.1		Triosephosphate isomerase
ODBLAICG_00125	gene	714	aldC			
ODBLAICG_00125	CDS	714	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
ODBLAICG_00126	gene	74				
ODBLAICG_00126	tRNA	74				tRNA-Glu(ctc)
ODBLAICG_00127	gene	330				
ODBLAICG_00127	CDS	330				hypothetical protein
ODBLAICG_00128	gene	76				
ODBLAICG_00128	tRNA	76				tRNA-Gln(ctg)
ODBLAICG_00129	gene	645				
ODBLAICG_00129	CDS	645				hypothetical protein
ODBLAICG_00130	gene	462				
ODBLAICG_00130	CDS	462				hypothetical protein
ODBLAICG_00131	gene	1752				
ODBLAICG_00131	CDS	1752			COG1132	putative ABC transporter ATP-binding protein
ODBLAICG_00132	gene	1833				
ODBLAICG_00132	CDS	1833		7.6.2.-	COG1132	Fatty acid ABC transporter ATP-binding/permease protein
ODBLAICG_00133	gene	1020	yfeW			
ODBLAICG_00133	CDS	1020	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
ODBLAICG_00134	gene	1488	cls			
ODBLAICG_00134	CDS	1488	cls	2.7.8.-		Cardiolipin synthase
ODBLAICG_00135	gene	306				
ODBLAICG_00135	CDS	306				hypothetical protein
ODBLAICG_00136	gene	732	gatD			
ODBLAICG_00136	CDS	732	gatD	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
ODBLAICG_00137	gene	1338	murT			
ODBLAICG_00137	CDS	1338	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
ODBLAICG_00138	gene	582	tdk			
ODBLAICG_00138	CDS	582	tdk	2.7.1.21	COG1435	Thymidine kinase
ODBLAICG_00139	gene	1089	prfA			
ODBLAICG_00139	CDS	1089	prfA		COG0216	Peptide chain release factor 1
ODBLAICG_00140	gene	852	prmC			
ODBLAICG_00140	CDS	852	prmC	2.1.1.297		Release factor glutamine methyltransferase
ODBLAICG_00141	gene	1032	ywlC			
ODBLAICG_00141	CDS	1032	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
ODBLAICG_00142	gene	1236	glyA			
ODBLAICG_00142	CDS	1236	glyA	2.1.2.1		Serine hydroxymethyltransferase
ODBLAICG_00143	gene	636	upp			
ODBLAICG_00143	CDS	636	upp	2.4.2.9		Uracil phosphoribosyltransferase
ODBLAICG_00144	gene	1119				
ODBLAICG_00144	CDS	1119				hypothetical protein
ODBLAICG_00145	gene	774				
ODBLAICG_00145	CDS	774				hypothetical protein
ODBLAICG_00146	gene	1269	pyrP			
ODBLAICG_00146	CDS	1269	pyrP			Uracil permease
ODBLAICG_00147	gene	711	atpB			
ODBLAICG_00147	CDS	711	atpB			ATP synthase subunit a
ODBLAICG_00148	gene	213	atpE			
ODBLAICG_00148	CDS	213	atpE			ATP synthase subunit c
ODBLAICG_00149	gene	507	atpF			
ODBLAICG_00149	CDS	507	atpF		COG0711	ATP synthase subunit b
ODBLAICG_00150	gene	546	atpH			
ODBLAICG_00150	CDS	546	atpH		COG0712	ATP synthase subunit delta
ODBLAICG_00151	gene	1539	atpA			
ODBLAICG_00151	CDS	1539	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
ODBLAICG_00152	gene	936	atpG			
ODBLAICG_00152	CDS	936	atpG		COG0224	ATP synthase gamma chain
ODBLAICG_00153	gene	1422	atpD			
ODBLAICG_00153	CDS	1422	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
ODBLAICG_00154	gene	423	atpC			
ODBLAICG_00154	CDS	423	atpC		COG0355	ATP synthase epsilon chain
ODBLAICG_00155	gene	222				
ODBLAICG_00155	CDS	222				hypothetical protein
ODBLAICG_00156	gene	1224	murA			
ODBLAICG_00156	CDS	1224	murA	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase
ODBLAICG_00157	gene	1017	mbl			
ODBLAICG_00157	CDS	1017	mbl		COG1077	Cell shape-determining protein Mbl
ODBLAICG_00158	gene	225				
ODBLAICG_00158	CDS	225				hypothetical protein
ODBLAICG_00159	gene	1203	rodA			
ODBLAICG_00159	CDS	1203	rodA	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
ODBLAICG_00160	gene	288	gcvH			
ODBLAICG_00160	CDS	288	gcvH			Glycine cleavage system H protein
ODBLAICG_00161	gene	978				
ODBLAICG_00161	CDS	978				hypothetical protein
ODBLAICG_00162	gene	1134	ddl			
ODBLAICG_00162	CDS	1134	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
ODBLAICG_00163	gene	846				
ODBLAICG_00163	CDS	846				hypothetical protein
ODBLAICG_00164	gene	480				
ODBLAICG_00164	CDS	480				Putative universal stress protein
ODBLAICG_00165	gene	285				
ODBLAICG_00165	CDS	285				hypothetical protein
ODBLAICG_00166	gene	1293				
ODBLAICG_00166	CDS	1293			COG2256	putative AAA domain-containing protein
ODBLAICG_00167	gene	474				
ODBLAICG_00167	CDS	474				hypothetical protein
ODBLAICG_00168	gene	411				
ODBLAICG_00168	CDS	411				hypothetical protein
ODBLAICG_00169	gene	747				
ODBLAICG_00169	CDS	747				hypothetical protein
ODBLAICG_00170	gene	846				
ODBLAICG_00170	CDS	846				hypothetical protein
ODBLAICG_00171	gene	285				
ODBLAICG_00171	CDS	285				hypothetical protein
ODBLAICG_00172	gene	1188				
ODBLAICG_00172	CDS	1188				IS256 family transposase IS1310
ODBLAICG_00173	gene	606	rpsD			
ODBLAICG_00173	CDS	606	rpsD		COG0522	30S ribosomal protein S4
ODBLAICG_00174	gene	1710	ezrA			
ODBLAICG_00174	CDS	1710	ezrA			Septation ring formation regulator EzrA
ODBLAICG_00175	gene	1149	iscS_1			
ODBLAICG_00175	CDS	1149	iscS_1	2.8.1.7		Cysteine desulfurase IscS
ODBLAICG_00176	gene	1221	thiI			
ODBLAICG_00176	CDS	1221	thiI	2.8.1.4	COG0301	putative tRNA sulfurtransferase
ODBLAICG_00177	gene	1296	dsdX			
ODBLAICG_00177	CDS	1296	dsdX			D-serine transporter DsdX
ODBLAICG_00178	gene	1143	garK			
ODBLAICG_00178	CDS	1143	garK	2.7.1.165	COG1929	Glycerate 2-kinase
ODBLAICG_00179	gene	261	tpx_1			
ODBLAICG_00179	CDS	261	tpx_1	1.11.1.15	COG2077	Thiol peroxidase
ODBLAICG_00180	gene	195	tpx_2			
ODBLAICG_00180	CDS	195	tpx_2	1.11.1.15		Thiol peroxidase
ODBLAICG_00181	gene	2655	valS			
ODBLAICG_00181	CDS	2655	valS	6.1.1.9		Valine--tRNA ligase
ODBLAICG_00182	gene	1323	fpgS			
ODBLAICG_00182	CDS	1323	fpgS	6.3.2.17		Folylpolyglutamate synthase
ODBLAICG_00183	gene	627				
ODBLAICG_00183	CDS	627				hypothetical protein
ODBLAICG_00184	gene	1011	mreB			
ODBLAICG_00184	CDS	1011	mreB		COG1077	Cell shape-determining protein MreB
ODBLAICG_00185	gene	852	mreC			
ODBLAICG_00185	CDS	852	mreC		COG1792	Cell shape-determining protein MreC
ODBLAICG_00186	gene	534				
ODBLAICG_00186	CDS	534				hypothetical protein
ODBLAICG_00187	gene	648	yecS_1			
ODBLAICG_00187	CDS	648	yecS_1		COG0765	L-cystine transport system permease protein YecS
ODBLAICG_00188	gene	645	glnQ_1			
ODBLAICG_00188	CDS	645	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
ODBLAICG_00189	gene	858	fliY			
ODBLAICG_00189	CDS	858	fliY		COG0834	L-cystine-binding protein FliY
ODBLAICG_00190	gene	1275				
ODBLAICG_00190	CDS	1275				hypothetical protein
ODBLAICG_00191	gene	1302				
ODBLAICG_00191	CDS	1302				hypothetical protein
ODBLAICG_00192	gene	1005				
ODBLAICG_00192	CDS	1005				hypothetical protein
ODBLAICG_00193	gene	585	pgsA			
ODBLAICG_00193	CDS	585	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
ODBLAICG_00194	gene	1245	cinA			
ODBLAICG_00194	CDS	1245	cinA		COG1058	Putative competence-damage inducible protein
ODBLAICG_00195	gene	1062	recA			
ODBLAICG_00195	CDS	1062	recA		COG0468	Protein RecA
ODBLAICG_00196	gene	1560	rny			
ODBLAICG_00196	CDS	1560	rny	3.1.-.-	COG1418	Ribonuclease Y
ODBLAICG_00197	gene	2643	mutS			
ODBLAICG_00197	CDS	2643	mutS		COG0249	DNA mismatch repair protein MutS
ODBLAICG_00198	gene	1944	mutL			
ODBLAICG_00198	CDS	1944	mutL		COG0323	DNA mismatch repair protein MutL
ODBLAICG_00199	gene	603	ruvA			
ODBLAICG_00199	CDS	603	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
ODBLAICG_00200	gene	1020	ruvB_1			
ODBLAICG_00200	CDS	1020	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
ODBLAICG_00201	gene	930				
ODBLAICG_00201	CDS	930				hypothetical protein
ODBLAICG_00202	gene	411				
ODBLAICG_00202	CDS	411				hypothetical protein
ODBLAICG_00203	gene	960	nrnA			
ODBLAICG_00203	CDS	960	nrnA	3.1.-.-	COG0618	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
ODBLAICG_00204	gene	1383	cshB			
ODBLAICG_00204	CDS	1383	cshB	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
ODBLAICG_00205	gene	2649	alaS			
ODBLAICG_00205	CDS	2649	alaS	6.1.1.7		Alanine--tRNA ligase
ODBLAICG_00206	gene	264				
ODBLAICG_00206	CDS	264				hypothetical protein
ODBLAICG_00207	gene	438	yrrK			
ODBLAICG_00207	CDS	438	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
ODBLAICG_00208	gene	306				
ODBLAICG_00208	CDS	306				hypothetical protein
ODBLAICG_00209	gene	906	rnhC			
ODBLAICG_00209	CDS	906	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
ODBLAICG_00210	gene	528				
ODBLAICG_00210	CDS	528				hypothetical protein
ODBLAICG_00211	gene	2376	mutS2			
ODBLAICG_00211	CDS	2376	mutS2	3.1.-.-		Endonuclease MutS2
ODBLAICG_00212	gene	315	trxA_1			
ODBLAICG_00212	CDS	315	trxA_1		COG0526	Thioredoxin
ODBLAICG_00213	gene	1263	clcB			
ODBLAICG_00213	CDS	1263	clcB			Voltage-gated ClC-type chloride channel ClcB
ODBLAICG_00214	gene	543				
ODBLAICG_00214	CDS	543				hypothetical protein
ODBLAICG_00215	gene	807	murI			
ODBLAICG_00215	CDS	807	murI	5.1.1.3		Glutamate racemase
ODBLAICG_00216	gene	594	rdgB			
ODBLAICG_00216	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
ODBLAICG_00217	gene	513				
ODBLAICG_00217	CDS	513				hypothetical protein
ODBLAICG_00218	gene	843	ybiV			
ODBLAICG_00218	CDS	843	ybiV	3.1.3.23	COG0561	Sugar phosphatase YbiV
ODBLAICG_00219	gene	879	ykuT			
ODBLAICG_00219	CDS	879	ykuT		COG0668	putative MscS family protein YkuT
ODBLAICG_00220	gene	414				
ODBLAICG_00220	CDS	414				hypothetical protein
ODBLAICG_00221	gene	432				
ODBLAICG_00221	CDS	432				hypothetical protein
ODBLAICG_00222	gene	1104	pepQ			
ODBLAICG_00222	CDS	1104	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
ODBLAICG_00223	gene	1023	ccpA_1			
ODBLAICG_00223	CDS	1023	ccpA_1		COG1609	Catabolite control protein A
ODBLAICG_00224	gene	858				
ODBLAICG_00224	CDS	858				hypothetical protein
ODBLAICG_00225	gene	744	yebC			
ODBLAICG_00225	CDS	744	yebC		COG0217	putative transcriptional regulatory protein YebC
ODBLAICG_00226	gene	1041				
ODBLAICG_00226	CDS	1041				hypothetical protein
ODBLAICG_00227	gene	585				
ODBLAICG_00227	CDS	585				hypothetical protein
ODBLAICG_00228	gene	1449				
ODBLAICG_00228	CDS	1449				hypothetical protein
ODBLAICG_00229	gene	960	comGA			
ODBLAICG_00229	CDS	960	comGA		COG2804	ComG operon protein 1
ODBLAICG_00230	gene	1032	epsF			
ODBLAICG_00230	CDS	1032	epsF		COG1459	Type II secretion system protein F
ODBLAICG_00231	gene	318				
ODBLAICG_00231	CDS	318				hypothetical protein
